method	K	silhouette
PhyloAE	18	0.35368833390013216
PhyloAE	19	0.35437114796150543
PhyloAE	20	0.3618824354573855
PhyloAE	21	0.3663724721660951
PhyloAE	22	0.36591332785862457
PhyloAE	23	0.3591877891634679
PhyloAE	24	0.3691132779952841
PhyloAE	25	0.36296346506139077
PhyloAE	26	0.3649903429732377
PhyloAE	27	0.3807196102935602
PhyloAE	28	0.3876998614374914
PhyloAE	29	0.3756630992387976
PhyloAE	30	0.38283789987334493
PhyloAE	31	0.3856869622880717
PhyloAE	32	0.38499134735265095
PhyloAE	33	0.3825608360474489
PhyloAE	34	0.38948650962216314
PhyloAE	35	0.39294992905261544
PhyloAE	36	0.4022712726334407
PhyloAE	37	0.40467547282327426
PhyloAE	38	0.4007858383873194
PhyloAE	39	0.4241697265630799
PhyloAE	40	0.42826051165431683
PhyloAE	41	0.429189996430647
PhyloAE	42	0.4326770079784348
PhyloAE	43	0.43374323280448207
PhyloAE	44	0.43577832647116754
PhyloAE	45	0.42881549649179457
PhyloAE	46	0.4410917362074349
PhyloAE	47	0.43190493395285257
PhyloAE	48	0.44608710046956696
PhyloAE	49	0.45445196526990256
PhyloAE	50	0.4445992763365938
